ID,dialect,valency_pattern,encoding,verb_meaning,verb_evenki,corpus,coord_etc,verb_comment,arg_comment1,other_comments,place,collection,dialectal_group,text,speakers,genre,place_corp,region,dialect_corp,subdialect_corp,collector,source,title,year,year_from,year_to,speaker,gender,latin,cyrillic,translation_rus,translation_eng,translation_de,comment_corpus,transcribed_by
ex_0001,Sym,leave_DAT,DAT,leave,suru,IL,,,,,Beliy_Yar,BeliyYar_K,Southern_sh,Шестой бубен (Ивигин Владимир Александрович) [2010],[author: Ивигин Владимир Александрович],[genre: lifestory],[recplace: Белый Яр],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/shestoy-buben-v-ivigin],[title: Шестой бубен],[year: 2010],[year_from: 2010],[year_to: 2010],[speaker: ],[gender: ...],bə toli ŋolətčuØ gorot gorottū odāwər {{šururə}}.,Бэ... толи ӈолэтчу город... городтӯ ода̄вэр шурурэ.,Тогда они боялись в город ехать.,ND,ND,—,[transcribed_by: ...]
ex_0002,Sym,leave_LAT,LAT,leave,suru,IL,,caus,,,Beliy_Yar,BeliyYar_K,Southern_sh,Шестой бубен (Ивигин Владимир Александрович) [2010],[author: Ивигин Владимир Александрович],[genre: lifestory],[recplace: Белый Яр],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/shestoy-buben-v-ivigin],[title: Шестой бубен],[year: 2010],[year_from: 2010],[year_to: 2010],[speaker: ],[gender: ...],šu šuru {{šurupčōtin}} ičəpkonuØ leningrattiki.,"Шу... шуру... шурупчо̄тын, ичэпкону Ленинградтыки.","Возили, показывали в Ленинград.",ND,ND,—,[transcribed_by: ...]
ex_0003,Sym,leave_LAT,LAT,leave,suru,IL,,,,,Beliy_Yar,BeliyYar_K,Southern_sh,Шестой бубен (Ивигин Владимир Александрович) [2010],[author: Ивигин Владимир Александрович],[genre: lifestory],[recplace: Белый Яр],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/shestoy-buben-v-ivigin],[title: Шестой бубен],[year: 2010],[year_from: 2010],[year_to: 2010],[speaker: ],[gender: ...],toli ašal leningrattiki ošiØ {{šurumūšə}}.,Толи ашал Ленинградтыки оши шурумӯшэ.,Тогда женщины в Ленинград не хотели поехать.,ND,ND,—,[transcribed_by: ...]
ex_0004,Sym,come_LOC,LOC,come,əmə,IL,,,,,Beliy_Yar,BeliyYar_K,Southern_sh,Я родился в лесу (Ивигин Владимир Александрович) [2010],[author: Ивигин Владимир Александрович],[genre: lifestory],[recplace: Белый Яр],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: ],[title: Я родился в лесу],[year: 2010],[year_from: 2010],[year_to: 2010],[speaker: ],[gender: ...],d’ulā {{omošiŋnərəØ}} i tak i hawald’aŋnərəØ nə əto ono.,Дюла̄ омошиӈнэрэ и так и хавалдяӈнэрэ.,Домой приходят и так ходят.,ND,ND,—,[transcribed_by: ...]
ex_0005,Ilimpi,leave_DAT,DAT,leave,suru,IL,,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Лапа медведя (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/lapa-medvedya-v-n-saygotin],[title: Лапа медведя],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],pəktirōwun harašo karabinmə ganal {{huručol}} bičol tōlī tadū.,"Пэктыро̄вун, хорошо, карабинмэ ганал, hуручол бичол то̄лӣ тадӯ.","Ружье, хорошо, карабин взяв, пошли тогда туда.",ND,ND,—,[transcribed_by: ...]
ex_0006,Ilimpi,come_DAT,DAT,come,əmə,IL,,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Собаки (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/sobaki-v-n-saygotin],[title: Собаки],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],əťikunka {{əməčo}} tadū.,Этикунка эмэчо тадӯ.,Пришел туда.,ND,ND,—,[transcribed_by: ...]
ex_0007,Ilimpi,come_LOC,LOC,come,əmə,IL,,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],girkunal {{əmərəwun}} tālā i ďəp ďemŋə̄nəlōn ičəttəwun.,Гиркунал эмэрэвун тāлā и деп… джемңэнэло̄н ичэттэвун.,Пешком пришли туда и на его объедки [=съеденное им] посмотрели.,ND,ND,—,[transcribed_by: ...]
ex_0008,Ilimpi,come_LOC,LOC,come,əmə,IL,modif,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],tālā ďuwalān [uďalān] ŋinakirďi {{əmərəwun}}.,Тāлā удяла̄н ңинакирди эмэрэвун.,Туда на след с собаками пришли мы.,ND,ND,—,[transcribed_by: ...]
ex_0009,Ilimpi,come_LOC,LOC,come,əmə,IL,modif,,,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],tālā ďuwalān [uďalān] ŋinakirďi {{əmərəwun}}.,Тāлā удяла̄н ңинакирди эмэрэвун.,Туда на след с собаками пришли мы.,ND,ND,—,[transcribed_by: ...]
ex_0010,Ilimpi,come_LOC,LOC,come,əmə,IL,,caus,,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],i ďūlāwər {{əməpčə̄wun}}.,И дю̄ла̄вэр эмэ̄пчэ̄вун.,И в чум привезли.,ND,ND,—,[transcribed_by: ...]
ex_0011,Ilimpi,come_LOC,LOC,come,əmə,IL,,,,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Собаки (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/sobaki-v-n-saygotin],[title: Собаки],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],hata gunďəØm wirtoľottulā ədāji əčə {{əmərə}}.,"— hата, — гундем, — вертолеттула̄ эда̄и эчэ эмэрэ?","— Ну, — думаю, — к вертолету почему не пришла [собака]?",ND,ND,—,[transcribed_by: ...]
ex_0012,Ilimpi,come_LOC,LOC,come,əmə,IL,modif,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],tālā ūďalān {{əmərəwun}} hō hōkśudə̄.,Та̄ла̄ ӯдялан эмэрэвун: Һō һōксю-дэ.,Туда на след пришли: много крови-то.,ND,ND,—,[transcribed_by: ...]
ex_0013,Ilimpi,come_LOC,LOC,come,əmə,IL,modif,,,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],tālā ūďalān {{əmərəwun}} hō hōkśudə̄.,Та̄ла̄ ӯдялан эмэрэвун: Һō һōксю-дэ.,Туда на след пришли: много крови-то.,ND,ND,—,[transcribed_by: ...]
ex_0014,Ilimpi,come_LOC,LOC,come,əmə,IL,two arg,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],ďet java tože gunәn {{әmәďim}} tālā nuŋardulātin.,Дед Ява тоже гунэн: «Эмэдим тāлā нуңардулāтын».,Дед Яков тоже сказал: «Приду туда к ним».,ND,ND,—,[transcribed_by: ...]
ex_0015,Ilimpi,come_LOC,LOC,come,əmə,IL,two arg,,animate,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],ďet java tože gunәn {{әmәďim}} tālā nuŋardulātin.,Дед Ява тоже гунэн: «Эмэдим тāлā нуңардулāтын».,Дед Яков тоже сказал: «Приду туда к ним».,ND,ND,—,[transcribed_by: ...]
